Country Code, Total Members
A1, 212
A2, 178
AE, 313
AF, 2
AG, 9
AL, 86
AM, 28
AO, 6
AP, 1
AR," 1,608 "
AS, 3
AT, 149
AU," 1,733 "
AW, 15
AZ, 25
BA, 79
BB, 17
BD, 100
BE, 406
BG, 216
BH, 58
BM, 2
BN, 16
BO, 65
BQ, 1
BR," 8,562 "
BS, 15
BT, 3
BW, 5
BY, 78
BZ, 16
CA," 3,350 "
CD, 1
CF, 1
CH, 143
CI, 2
CL, 960
CM, 2
CN," 1,194 "
CO, 958
CR, 149
CU, 2
CW, 11
CY, 71
CZ, 248
DE," 1,082 "
DJ, 1
DK, 385
DM, 4
DO, 132
DZ, 90
EC, 376
EE, 75
EG, 404
ES, 768
ET, 4
EU," 3,774 "
FI, 289
FJ, 16
FO, 7
FR," 1,060 "
GB," 5,433 "
GD, 4
GE, 57
GF, 2
GG, 1
GH, 21
GI, 4
GL, 3
GM, 2
GP, 6
GR, 390
GT, 152
GU, 8
GY, 18
HK, 126
HN, 77
HR, 155
HT, 6
HU, 243
ID, 862
IE, 362
IL, 227
IM, 10
IN," 1,887 "
IQ, 77
IR, 243
IS, 43
IT," 1,187 "
JE, 11
JM, 57
JO, 53
JP, 443
KE, 79
KG, 7
KH, 18
KN, 1
KR, 50
KW, 95
KY, 4
KZ, 94
LA, 1
LB, 81
LC, 6
LK, 72
LR, 1
LS, 1
LT, 153
LU, 23
LV, 55
LY, 23
MA, 138
MC, 1
MD, 21
ME, 15
MG, 12
MH, 1
MK, 57
MM, 24
MN, 8
MO, 10
MP, 3
MQ, 4
MR, 2
MT, 47
MU, 44
MV, 3
MW, 3
MX," 2,496 "
MY, 499
MZ, 6
NA, 11
NC, 5
NE, 1
NG, 959
NI, 36
NL, 678
NO, 372
NP, 77
NZ, 839
OM, 37
PA, 107
PE, 597
PF, 2
PH," 1,464 "
PK, 288
PL, 777
PR, 230
PS, 21
PT, 636
PY, 91
QA, 63
RE, 9
RO, 355
RS, 191
RU," 1,806 "
RW, 2
SA, 482
SD, 4
SE, 481
SG," 1,055 "
SI, 128
SK, 118
SL, 1
SN, 3
SO, 2
SR, 11
SV, 128
SY, 20
TG, 1
TH, 141
TJ, 1
TM, 1
TN, 67
TR, 402
TT, 67
TW, 122
TZ, 18
UA, 265
UG, 12
US," 3,569,904 "
UY, 207
UZ, 8
VC, 4
VE, 460
VG, 1
VI, 5
VN, 204
VU, 1
YE, 8
YT, 1
ZA, 244
ZM, 4
ZW, 4
